age,station_distance,stores_count,unit_price
32.1,1438.579,3,27.0
34.9,567.0349,4,28.5
33.0,181.0766,9,42.0
13.6,4197.349,0,19.2
32.0,1156.777,0,12.8
34.4,126.7286,8,48.2
34.8,190.0392,8,44.3
9.9,2102.427,3,23.1
41.3,124.9912,6,60.7
17.2,2175.877,3,27.7
5.6,90.45606,9,50.0
41.3,401.8807,4,35.1
10.5,279.1726,7,51.6
16.2,289.3248,5,55.0
7.6,2175.03,3,27.7
8.3,104.8101,5,42.8
15.6,752.7669,2,37.5
4.1,56.47425,7,62.1
13.7,4082.015,0,15.4
13.0,492.2313,5,39.3
19.2,557.478,4,47.0
19.2,461.1016,5,32.9
6.2,90.45606,9,58.0
38.5,216.8329,7,41.0
3.7,577.9615,6,41.6
16.2,289.3248,5,51.4
15.2,461.1016,5,34.6
29.3,1487.868,2,27.0
36.1,519.4617,5,34.7
3.6,383.8624,5,58.8
15.9,289.3248,5,42.1
32.9,87.30222,10,47.1
6.6,90.45606,9,59.0
31.3,1758.406,1,20.7
16.1,815.9314,4,35.6
13.0,492.2313,5,40.5
4.5,2275.877,3,29.3
17.3,2261.432,4,29.5
30.7,1264.73,0,18.3
35.9,640.7391,3,61.5
17.2,390.5684,5,40.1
43.8,57.58945,7,42.7
38.0,461.7848,0,35.7
18.0,6306.153,1,15.0
2.6,533.4762,4,55.0
41.4,281.205,8,63.3
36.6,488.8193,8,38.3
37.1,918.6357,1,31.9
5.0,390.5684,5,43.1
34.7,482.7581,5,41.1
15.9,289.3248,5,53.0
16.2,4074.736,0,14.7
5.1,1867.233,2,35.6
12.6,383.2805,7,42.5
4.6,259.6607,6,53.7
15.0,1828.319,2,20.9
3.5,49.66105,8,57.8
33.6,371.2495,8,41.9
7.5,639.6198,5,40.8
16.6,289.3248,5,59.6
3.5,757.3377,3,36.7
13.2,492.2313,5,42.3
13.9,4573.779,0,19.2
16.4,289.3248,5,53.0
13.1,1144.436,4,36.7
33.9,157.6052,7,41.5
28.6,197.1338,6,42.5
13.2,750.0704,2,37.8
18.9,1009.235,0,20.8
13.3,561.9845,5,47.3
17.5,395.6747,5,24.5
17.4,995.7554,0,25.5
0.0,185.4296,0,52.2
16.9,4066.587,0,18.3
0.0,274.0144,1,43.5
12.7,187.4823,1,28.5
3.4,56.47425,7,54.4
31.3,600.8604,5,30.9
13.9,289.3248,5,44.5
7.1,2175.03,3,32.1
8.9,3078.176,0,22.0
19.2,383.7129,8,48.1
26.6,482.7581,5,37.5
31.4,592.5006,2,34.1
35.4,318.5292,9,78.0
18.4,2674.961,3,25.7
11.6,390.5684,5,39.4
17.7,451.6419,8,26.5
16.9,967.4,4,40.3
35.3,614.1394,7,33.1
5.4,390.5684,5,49.5
30.3,4510.359,1,22.6
30.9,6396.283,1,12.2
17.2,189.5181,8,47.1
12.3,1360.139,1,29.5
21.7,1055.067,0,23.1
1.1,329.9747,5,51.8
26.9,4449.27,0,15.5
31.0,1156.412,0,19.0
34.6,3085.17,0,41.2
